iter	Passed	Remaining
0	1	129
1	2	114
2	3	106
3	4	100
4	5	101
5	6	100
6	7	98
7	8	96
8	9	95
9	10	94
10	11	94
11	12	93
12	13	91
13	14	90
14	15	89
15	16	88
16	17	86
17	18	85
18	19	84
19	21	84
20	22	82
21	23	81
22	24	80
23	25	79
24	26	78
25	27	77
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	67
35	37	67
36	38	66
37	39	65
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	64	41
61	65	40
62	66	39
63	67	38
64	69	37
65	69	36
66	71	34
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
